Unique Key,Created Date,Complaint Type,Descriptor,Incident Address,Street Name,Latitude,Longitude,Location,Complaint Category,Category
61495949,2024-06-16 00:00:22,Noise - Street/Sidewalk,Loud Talking,600 WEST  161 STREET,WEST  161 STREET,40.836664988649915,-73.94333105285334,"(40.836664988649915, -73.94333105285334)",Noise,High
61487423,2024-06-15 23:56:38,Noise - Street/Sidewalk,Loud Music/Party,2 SEAMAN AVENUE,SEAMAN AVENUE,40.8663348510651,-73.92788215861218,"(40.8663348510651, -73.92788215861218)",Noise,High
61486056,2024-06-15 23:54:58,Noise - Street/Sidewalk,Loud Music/Party,225 DYCKMAN STREET,DYCKMAN STREET,40.86578021195139,-73.9275465238366,"(40.865780211951396, -73.9275465238366)",Noise,High
61490173,2024-06-15 23:54:26,Noise - Street/Sidewalk,Loud Music/Party,225 DYCKMAN STREET,DYCKMAN STREET,40.86578021195139,-73.9275465238366,"(40.865780211951396, -73.9275465238366)",Noise,High
61485771,2024-06-15 23:28:30,Noise - Commercial,Loud Music/Party,494 BROADWAY,BROADWAY,40.72210267979245,-73.99957790517526,"(40.72210267979245, -73.99957790517526)",Noise,Very High
61488533,2024-06-15 23:28:18,Noise - Commercial,Loud Music/Party,106 3 AVENUE,3 AVENUE,40.73271049805848,-73.9876165807211,"(40.73271049805848, -73.9876165807211)",Noise,High
61487478,2024-06-15 23:24:48,Noise - Street/Sidewalk,Loud Talking,234 WEST  114 STREET,WEST  114 STREET,40.802360975539656,-73.95455745266254,"(40.802360975539656, -73.95455745266254)",Noise,Very High
61487351,2024-06-15 23:23:06,Noise - Street/Sidewalk,Loud Music/Party,265 WEST  114 STREET,WEST  114 STREET,40.80275381673463,-73.95544212929333,"(40.80275381673463, -73.95544212929333)",Noise,Very High
61494198,2024-06-15 23:22:08,Noise - Commercial,Loud Music/Party,199 PRINCE STREET,PRINCE STREET,40.72671109521736,-74.00276364952728,"(40.72671109521736, -74.00276364952728)",Noise,Very High
61491364,2024-06-15 23:04:13,Noise - Commercial,Loud Music/Party,235 9 AVENUE,9 AVENUE,40.74747518072245,-74.00062075179495,"(40.74747518072245, -74.00062075179495)",Noise,High
61491724,2024-06-15 22:54:08,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61487127,2024-06-15 22:50:47,Noise - Commercial,Loud Music/Party,202 NINTH AVENUE,NINTH AVENUE,40.74607534908507,-74.00161680791183,"(40.74607534908507, -74.00161680791183)",Noise,High
61491208,2024-06-15 22:44:57,Noise - Vehicle,Car/Truck Horn,303 EAST   37 STREET,EAST   37 STREET,40.74659948029517,-73.97427883748098,"(40.74659948029517, -73.97427883748098)",Noise,High
61490230,2024-06-15 22:41:23,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61493071,2024-06-15 22:35:13,Noise - Street/Sidewalk,Loud Music/Party,635 WEST  207 STREET,WEST  207 STREET,40.868326153014294,-73.92160696377904,"(40.868326153014294, -73.92160696377904)",Noise,High
61492670,2024-06-15 22:31:31,Noise - Vehicle,Car/Truck Horn,686 SECOND AVENUE,SECOND AVENUE,40.74682457222308,-73.97437980221159,"(40.74682457222308, -73.97437980221159)",Noise,Very High
61490304,2024-06-15 22:30:47,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61490149,2024-06-15 22:29:04,Noise - Street/Sidewalk,Loud Music/Party,635 WEST  207 STREET,WEST  207 STREET,40.868326153014294,-73.92160696377904,"(40.868326153014294, -73.92160696377904)",Noise,High
61490150,2024-06-15 22:27:25,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61495800,2024-06-15 22:24:32,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61495534,2024-06-15 22:22:15,Noise - Commercial,Banging/Pounding,25 CENTRAL ROAD,CENTRAL ROAD,40.7942212081307,-73.92099719649754,"(40.7942212081307, -73.92099719649754)",Noise,Very High
61488785,2024-06-15 22:19:17,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61488772,2024-06-15 22:16:11,Noise - Street/Sidewalk,Loud Music/Party,635 WEST  207 STREET,WEST  207 STREET,40.868326153014294,-73.92160696377904,"(40.868326153014294, -73.92160696377904)",Noise,High
61493129,2024-06-15 22:15:18,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61486064,2024-06-15 22:10:17,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61487414,2024-06-15 22:01:53,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61486007,2024-06-15 22:00:08,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61490262,2024-06-15 21:56:13,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61486086,2024-06-15 21:51:20,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61486090,2024-06-15 21:45:02,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61492842,2024-06-15 21:41:49,Noise - Commercial,Loud Music/Party,635 WEST  207 STREET,WEST  207 STREET,40.868326153014294,-73.92160696377904,"(40.868326153014294, -73.92160696377904)",Noise,High
61493108,2024-06-15 21:40:25,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61490170,2024-06-15 21:39:11,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61493062,2024-06-15 21:34:52,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61493121,2024-06-15 21:33:23,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61488871,2024-06-15 21:30:18,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61487349,2024-06-15 21:27:50,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61493125,2024-06-15 21:25:06,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61489921,2024-06-15 21:20:56,Noise - Commercial,Loud Music/Party,158 LUDLOW STREET,LUDLOW STREET,40.721001394303194,-73.98787850273274,"(40.721001394303194, -73.98787850273274)",Noise,Very High
61494525,2024-06-15 21:18:43,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61490243,2024-06-15 21:15:14,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61490268,2024-06-15 21:11:54,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61494515,2024-06-15 21:10:16,Noise - Street/Sidewalk,Loud Music/Party,165 SHERMAN AVENUE,SHERMAN AVENUE,40.86476431663921,-73.92276447154296,"(40.86476431663921, -73.92276447154296)",Noise,High
61495904,2024-06-15 21:08:50,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61490160,2024-06-15 21:06:22,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61493065,2024-06-15 21:05:34,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61488853,2024-06-15 21:04:50,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61495868,2024-06-15 20:51:58,Noise - Street/Sidewalk,Loud Music/Party,165 SHERMAN AVENUE,SHERMAN AVENUE,40.86476431663921,-73.92276447154296,"(40.86476431663921, -73.92276447154296)",Noise,High
61494570,2024-06-15 20:45:42,Noise - Street/Sidewalk,Loud Talking,234 WEST  114 STREET,WEST  114 STREET,40.802360975539656,-73.95455745266254,"(40.802360975539656, -73.95455745266254)",Noise,Very High
61493096,2024-06-15 20:45:06,Noise - Street/Sidewalk,Loud Music/Party,165 SHERMAN AVENUE,SHERMAN AVENUE,40.86476431663921,-73.92276447154296,"(40.86476431663921, -73.92276447154296)",Noise,High
61487485,2024-06-15 20:42:52,Noise - Street/Sidewalk,Loud Talking,2400 7 AVENUE,7 AVENUE,40.81853515725049,-73.94135579635707,"(40.81853515725049, -73.94135579635707)",Noise,Very High
61487403,2024-06-15 20:36:36,Noise - Street/Sidewalk,Loud Music/Party,165 SHERMAN AVENUE,SHERMAN AVENUE,40.86476431663921,-73.92276447154296,"(40.86476431663921, -73.92276447154296)",Noise,High
61490266,2024-06-15 20:34:07,Noise - Street/Sidewalk,Loud Music/Party,2 WEST  125 STREET,WEST  125 STREET,40.80650836377572,-73.94250424329658,"(40.80650836377572, -73.94250424329658)",Noise,Very High
61494494,2024-06-15 20:26:48,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61491675,2024-06-15 20:26:10,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61489932,2024-06-15 20:13:41,Noise - Commercial,Loud Music/Party,158 LUDLOW STREET,LUDLOW STREET,40.721001394303194,-73.98787850273274,"(40.721001394303194, -73.98787850273274)",Noise,Very High
61495855,2024-06-15 19:50:57,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61488570,2024-06-15 19:49:50,Noise - Commercial,Loud Talking,153 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,40.80307499148652,-73.94892579925813,"(40.80307499148652, -73.94892579925813)",Noise,High
61493049,2024-06-15 19:47:23,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61486055,2024-06-15 19:44:32,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61495874,2024-06-15 19:42:47,Noise - Street/Sidewalk,Loud Music/Party,585 WEST  214 STREET,WEST  214 STREET,40.87156342719683,-73.91947708125568,"(40.87156342719683, -73.91947708125568)",Noise,High
61488555,2024-06-15 19:42:24,Noise - Commercial,Loud Music/Party,158 LUDLOW STREET,LUDLOW STREET,40.721001394303194,-73.98787850273274,"(40.721001394303194, -73.98787850273274)",Noise,Very High
61491600,2024-06-15 19:42:03,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61493176,2024-06-15 19:37:14,Noise - Street/Sidewalk,Loud Talking,2400 7 AVENUE,7 AVENUE,40.81853515725049,-73.94135579635707,"(40.81853515725049, -73.94135579635707)",Noise,Very High
61486058,2024-06-15 19:31:06,Noise - Street/Sidewalk,Loud Music/Party,330 EAST    4 STREET,EAST    4 STREET,40.72178786691218,-73.97902162534088,"(40.72178786691218, -73.97902162534088)",Noise,High
61494454,2024-06-15 19:23:31,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61493073,2024-06-15 19:23:01,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61495807,2024-06-15 19:22:26,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61491659,2024-06-15 19:21:55,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61488844,2024-06-15 19:21:22,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61486061,2024-06-15 19:20:53,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61486006,2024-06-15 19:20:18,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61487390,2024-06-15 19:19:07,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61491602,2024-06-15 19:18:30,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61493104,2024-06-15 19:17:45,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61488887,2024-06-15 19:17:42,Noise - Street/Sidewalk,Loud Music/Party,2 WEST  125 STREET,WEST  125 STREET,40.80650836377572,-73.94250424329658,"(40.80650836377572, -73.94250424329658)",Noise,Very High
61493074,2024-06-15 19:16:54,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61495582,2024-06-15 19:16:27,Noise - Commercial,Loud Music/Party,2164 FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,40.80488630245875,-73.95501446978744,"(40.80488630245875, -73.95501446978744)",Noise,High
61488522,2024-06-15 19:12:43,Noise - Commercial,Banging/Pounding,647 9 AVENUE,9 AVENUE,40.76057551013919,-73.99108035247622,"(40.76057551013919, -73.99108035247622)",Noise,High
61488848,2024-06-15 19:08:50,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61488845,2024-06-15 19:08:15,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61487328,2024-06-15 19:07:28,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61493044,2024-06-15 18:43:47,Noise - Street/Sidewalk,Loud Music/Party,585 WEST  214 STREET,WEST  214 STREET,40.87156342719683,-73.91947708125568,"(40.87156342719683, -73.91947708125568)",Noise,High
61493106,2024-06-15 18:28:44,Noise - Street/Sidewalk,Loud Music/Party,234 WEST  114 STREET,WEST  114 STREET,40.802360975539656,-73.95455745266254,"(40.802360975539656, -73.95455745266254)",Noise,Very High
61491745,2024-06-15 18:21:55,Noise - Street/Sidewalk,Loud Talking,225 EAST   47 STREET,EAST   47 STREET,40.75364731537449,-73.97140667761374,"(40.75364731537449, -73.97140667761374)",Noise,High
61486152,2024-06-15 18:21:53,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61486048,2024-06-15 18:21:07,Noise - Street/Sidewalk,Loud Music/Party,298 WEST  149 STREET,WEST  149 STREET,40.825201195767306,-73.93964808609853,"(40.825201195767306, -73.93964808609853)",Noise,High
61491752,2024-06-15 18:20:47,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61495987,2024-06-15 18:19:34,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61487513,2024-06-15 18:18:28,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61490336,2024-06-15 18:17:27,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61487497,2024-06-15 18:14:56,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61490338,2024-06-15 18:12:50,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61490339,2024-06-15 18:12:25,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61491764,2024-06-15 18:09:55,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61493187,2024-06-15 18:08:21,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61490154,2024-06-15 18:07:32,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61495969,2024-06-15 18:07:22,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61495819,2024-06-15 18:06:54,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61486146,2024-06-15 18:05:28,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61487491,2024-06-15 18:03:13,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61490355,2024-06-15 18:01:54,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61491756,2024-06-15 18:01:51,Noise - Vehicle,Car/Truck Music,109 POST AVENUE,POST AVENUE,40.8643648284726,-73.92054510016914,"(40.8643648284726, -73.92054510016914)",Noise,Very High
61494460,2024-06-15 17:57:27,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61488854,2024-06-15 17:41:29,Noise - Street/Sidewalk,Loud Music/Party,621 WEST  135 STREET,WEST  135 STREET,40.82044646087179,-73.95587106624411,"(40.82044646087179, -73.95587106624411)",Noise,High
61494458,2024-06-15 17:38:21,Noise - Street/Sidewalk,Loud Music/Party,622 WEST  137 STREET,WEST  137 STREET,40.821667450043606,-73.95481163398917,"(40.821667450043606, -73.95481163398917)",Noise,High
61489901,2024-06-15 17:32:19,Noise - Commercial,Banging/Pounding,647 9 AVENUE,9 AVENUE,40.76057551013919,-73.99108035247622,"(40.76057551013919, -73.99108035247622)",Noise,High
61490327,2024-06-15 17:16:16,Noise - Street/Sidewalk,Loud Talking,1380 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,40.84808934448149,-73.9346176478132,"(40.84808934448149, -73.9346176478132)",Noise,High
61485995,2024-06-15 17:06:32,Noise - Street/Sidewalk,Loud Music/Party,234 WEST  114 STREET,WEST  114 STREET,40.802360975539656,-73.95455745266254,"(40.802360975539656, -73.95455745266254)",Noise,Very High
61490292,2024-06-15 16:57:11,Noise - Street/Sidewalk,Loud Music/Party,1365 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,40.84777933601725,-73.9348709650853,"(40.84777933601725, -73.9348709650853)",Noise,Very High
61494574,2024-06-15 16:49:06,Noise - Street/Sidewalk,Loud Talking,2400 7 AVENUE,7 AVENUE,40.81853515725049,-73.94135579635707,"(40.81853515725049, -73.94135579635707)",Noise,Very High
61493135,2024-06-15 16:48:44,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61486005,2024-06-15 16:29:36,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61491678,2024-06-15 16:21:55,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61488894,2024-06-15 16:20:47,Noise - Street/Sidewalk,Loud Music/Party,18 EAST  109 STREET,EAST  109 STREET,40.79579862955181,-73.94872551816896,"(40.79579862955181, -73.94872551816896)",Noise,Very High
61487431,2024-06-15 16:10:33,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61495890,2024-06-15 16:06:34,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61490210,2024-06-15 16:05:26,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61485996,2024-06-15 16:02:26,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61488890,2024-06-15 16:00:20,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61494541,2024-06-15 15:56:07,Noise - Street/Sidewalk,Loud Music/Party,16 EAST  109 STREET,EAST  109 STREET,40.79581786192104,-73.9487688430775,"(40.79581786192104, -73.9487688430775)",Noise,Very High
61494578,2024-06-15 15:29:23,Noise - Street/Sidewalk,Loud Talking,2400 7 AVENUE,7 AVENUE,40.81853515725049,-73.94135579635707,"(40.81853515725049, -73.94135579635707)",Noise,Very High
